,term,count,num_docs,label,subjectivity_max,subjectivity_min,subjectivity_mean
6184,filet,1,1,['neutral'],0.5714285714285714,0.5714285714285714,0.5714285714285714
6719,furnished,1,1,['neutral'],0.275,0.275,0.275
6718,furnico,1,1,['neutral'],0.3,0.3,0.3
6716,furloughed,1,1,['neutral'],0.0,0.0,0.0
6715,furlough,1,1,['neutral'],0.3333333333333333,0.3333333333333333,0.3333333333333333
6714,fur,1,1,['positive'],0.41,0.41,0.41
6713,funny,1,1,['positive'],0.675,0.675,0.675
6711,fungible,1,1,['neutral'],0.0,0.0,0.0
6709,funeral,1,1,['positive'],0.0,0.0,0.0
15159,shorten,1,1,['neutral'],0.45238095238095233,0.45238095238095233,0.45238095238095233
6707,fundraise,1,1,['neutral'],0.675,0.675,0.675
6705,funderstruck,1,1,['positive'],0.12222222222222223,0.12222222222222223,0.12222222222222223
15161,shortening,1,1,['positive'],0.5384615384615384,0.5384615384615384,0.5384615384615384
6720,furnishing,1,1,['neutral'],0.5,0.5,0.5
15165,shorthand,1,1,['neutral'],0.5,0.5,0.5
15167,shortly,1,1,['neutral'],0.325,0.325,0.325
15170,shotgun,1,1,['positive'],0.4006493506493506,0.4006493506493506,0.4006493506493506
6689,fulvestrant,1,1,['neutral'],0.5,0.5,0.5
15175,showbiz,1,1,['neutral'],0.4099999999999999,0.4099999999999999,0.4099999999999999
15177,showcased,1,1,['positive'],0.5972222222222222,0.5972222222222222,0.5972222222222222
15178,showcasing,1,1,['positive'],0.5916666666666667,0.5916666666666667,0.5916666666666667
15179,showed,1,1,['negative'],0.575,0.575,0.575
6681,fullness,1,1,['positive'],0.4166666666666667,0.4166666666666667,0.4166666666666667
15182,showtime,1,1,['positive'],0.49166666666666664,0.49166666666666664,0.49166666666666664
6679,fulfills,1,1,['positive'],0.25,0.25,0.25
15183,shpps,1,1,['neutral'],0.0,0.0,0.0
6675,fulfillable,1,1,['positive'],0.125,0.125,0.125
6698,functionally,1,1,['positive'],0.34375,0.34375,0.34375
6674,fulfill,1,1,['positive'],0.4772727272727273,0.4772727272727273,0.4772727272727273
6722,furnitured,1,1,['neutral'],0.25,0.25,0.25
6725,furthers,1,1,['neutral'],1.0,1.0,1.0
6776,gamified,1,1,['neutral'],0.5,0.5,0.5
6775,gamestop,1,1,['positive'],1.0,1.0,1.0
15125,shipbuilder,1,1,['positive'],0.5833333333333334,0.5833333333333334,0.5833333333333334
15128,shipowner,1,1,['neutral'],0.1,0.1,0.1
15129,shippable,1,1,['positive'],1.0,1.0,1.0
15130,shipped,1,1,['positive'],0.23541666666666666,0.23541666666666666,0.23541666666666666
6763,gam,1,1,['positive'],0.4139880952380952,0.4139880952380952,0.4139880952380952
6762,galénic,1,1,['positive'],0.05,0.05,0.05
6761,galway,1,1,['neutral'],0.3875,0.3875,0.3875
6759,gallup,1,1,['neutral'],0.0,0.0,0.0
6758,gallop,1,1,['positive'],0.5,0.5,0.5
6754,galleria,1,1,['neutral'],0.625,0.625,0.625
6723,furry,1,1,['positive'],0.42727272727272725,0.42727272727272725,0.42727272727272725
6752,gala,1,1,['neutral'],0.0,0.0,0.0
6747,gaga,1,1,['positive'],0.0,0.0,0.0
6746,gadget,1,1,['positive'],0.3333333333333333,0.3333333333333333,0.3333333333333333
6745,gaba,1,1,['positive'],0.3444444444444445,0.3444444444444445,0.3444444444444445
15141,shopability,1,1,['positive'],0.2,0.2,0.2
15144,shopkeeper,1,1,['positive'],0.4857142857142857,0.4857142857142857,0.4857142857142857
6734,fvl,1,1,['neutral'],0.0,0.0,0.0
6733,fuvs,1,1,['neutral'],0.44999999999999996,0.44999999999999996,0.44999999999999996
6732,fuv,1,1,['positive'],0.5,0.5,0.5
6730,futurist,1,1,['positive'],0.5677777777777777,0.5677777777777777,0.5677777777777777
6729,futurestack,1,1,['neutral'],0.0,0.0,0.0
15151,shorad,1,1,['neutral'],0.9,0.9,0.9
15153,shoreline,1,1,['neutral'],0.37,0.37,0.37
6751,gainn,1,1,['neutral'],0.0,0.0,0.0
15188,shrunk,1,1,['negative'],0.41111111111111115,0.41111111111111115,0.41111111111111115
6659,fshd,1,1,['positive'],0.3125,0.3125,0.3125
6657,fsg,1,1,['positive'],0.4375,0.4375,0.4375
6587,freemium,1,1,['neutral'],0.42727272727272725,0.42727272727272725,0.42727272727272725
6586,freely,1,1,['neutral'],0.35000000000000003,0.35000000000000003,0.35000000000000003
6585,freelancer,1,1,['positive'],0.42727272727272725,0.42727272727272725,0.42727272727272725
15234,signrequest,1,1,['positive'],0.5133333333333333,0.5133333333333333,0.5133333333333333
6580,frc,1,1,['neutral'],0.7,0.7,0.7
6579,fray,1,1,['negative'],1.0,1.0,1.0
15236,sikorsky,1,1,['positive'],0.4166666666666667,0.4166666666666667,0.4166666666666667
6575,fras,1,1,['negative'],0.43,0.43,0.43
6573,franchisors,1,1,['positive'],0.30625,0.30625,0.30625
6570,franchisers,1,1,['positive'],0.4061471861471862,0.4061471861471862,0.4061471861471862
6569,franchiser,1,1,['positive'],0.4061471861471862,0.4061471861471862,0.4061471861471862
15243,silk,1,1,['positive'],0.6333333333333333,0.6333333333333333,0.6333333333333333
6588,freeport,1,1,['neutral'],0.0,0.0,0.0
15244,silkscreen,1,1,['positive'],0.5333333333333333,0.5333333333333333,0.5333333333333333
6562,fran,1,1,['neutral'],0.2,0.2,0.2
6559,framer,1,1,['positive'],0.375,0.375,0.375
6558,frameless,1,1,['positive'],0.3125,0.3125,0.3125
15247,siloxane,1,1,['positive'],0.09523809523809523,0.09523809523809523,0.09523809523809523
6556,frailty,1,1,['negative'],0.4125,0.4125,0.4125
15248,silsbee,1,1,['neutral'],0.34444444444444444,0.34444444444444444,0.34444444444444444
6550,fragility,1,1,['negative'],0.06666666666666667,0.06666666666666667,0.06666666666666667
6549,fragile,1,1,['positive'],0.49583333333333335,0.49583333333333335,0.49583333333333335
15251,silverado,1,1,['positive'],0.6666666666666666,0.6666666666666666,0.6666666666666666
6547,fractured,1,1,['positive'],0.0,0.0,0.0
6546,fracture,1,1,['positive'],0.375,0.375,0.375
6545,fractionators,1,1,['neutral'],0.0,0.0,0.0
6564,france,1,1,['neutral'],0.625,0.625,0.625
15226,signia,1,1,['positive'],0.7416666666666667,0.7416666666666667,0.7416666666666667
15221,signaling,1,1,['neutral'],0.25,0.25,0.25
15216,sightseeing,1,1,['neutral'],0.1923076923076923,0.1923076923076923,0.1923076923076923
6654,frying,1,1,['neutral'],0.5,0.5,0.5
6653,fryer,1,1,['neutral'],0.625,0.625,0.625
6650,frustrating,1,1,['positive'],0.6133333333333333,0.6133333333333333,0.6133333333333333
6649,frustrated,1,1,['negative'],0.3133333333333333,0.3133333333333333,0.3133333333333333
6645,frp,1,1,['positive'],0.478125,0.478125,0.478125
15196,sianda,1,1,['neutral'],0.2916666666666667,0.2916666666666667,0.2916666666666667
6641,frothiness,1,1,['neutral'],0.38484848484848483,0.38484848484848483,0.38484848484848483
6639,frontrunner,1,1,['positive'],0.3,0.3,0.3
6637,frontlist,1,1,['positive'],0.7333333333333333,0.7333333333333333,0.7333333333333333
15200,sicker,1,1,['positive'],0.565625,0.565625,0.565625
6630,frog,1,1,['neutral'],0.0,0.0,0.0
6629,frl,1,1,['positive'],0.9,0.9,0.9
6627,frigid,1,1,['positive'],0.5333333333333333,0.5333333333333333,0.5333333333333333
6622,friendlier,1,1,['neutral'],0.4,0.4,0.4
15206,sidewall,1,1,['neutral'],0.4523809523809524,0.4523809523809524,0.4523809523809524
15208,sidoti,1,1,['neutral'],0.26,0.26,0.26
6618,freyr,1,1,['neutral'],0.0,0.0,0.0
6617,freshworks,1,1,['neutral'],0.5,0.5,0.5
6616,freshwater,1,1,['neutral'],0.5,0.5,0.5
6614,freshpet,1,1,['positive'],0.6833333333333332,0.6833333333333332,0.6833333333333332
6610,freshen,1,1,['neutral'],0.3,0.3,0.3
15212,sieve,1,1,['positive'],0.48333333333333334,0.48333333333333334,0.48333333333333334
15214,sightglass,1,1,['neutral'],0.0,0.0,0.0
6600,frenzy,1,1,['positive'],0.26999999999999996,0.26999999999999996,0.26999999999999996
6599,frenzied,1,1,['negative'],0.6333333333333333,0.6333333333333333,0.6333333333333333
15215,sightlines,1,1,['positive'],0.3416666666666667,0.3416666666666667,0.3416666666666667
